DMV1,DMV2,DMV3,VIN
000,00,4152,PSAV
000,00,4155,JUNI
000,00,4172,AT&T
000,00,4177,STEP
000,00,4200,CHER
000,00,4201,THE 
000,00,4210,WON 
000,00,4242,MANG
000,00,4284,FOST
000,00,4329,YMCA
000,00,4329,YMCA
000,00,4350,CSC 
000,00,4353,NORT
000,00,4360,SALL
000,00,4360,SALL
000,00,4362,ROLL
000,00,4367,DRS 
000,00,4382,HALL
000,00,4386,JWAB
000,00,4403,NOBL
000,00,4403,NOBL
000,00,4411,FAIR
000,00,4416,HEAL
000,00,4436,WORX
000,00,4436,WORX
000,00,4487,UNIT
000,00,4487,UNIT
000,00,4488,UNIT
000,00,4490,CYPR
000,00,4490,CYPR
000,00,4490,CYPR
000,00,4498,GUES
000,00,4498,GUES
000,00,4538,WILL
000,00,4542,ARNI
000,00,4562,GREC
000,00,4562,GREC
000,00,4563,HAIR
000,00,4563,HAIR
000,00,4565,MEC 
000,00,4574,MAND
000,00,4584,COOK
000,00,4596,GRAP
000,00,4607,ORTH
000,00,4607,ORTH
000,00,4612,J PA
 000,00,4615,QSM
000,00,4637,PRIN
000,00,4650,FAIR
000,00,4676,STEV
000,00,4676,STEV
000,00,4678,TRI 
000,00,4681,KASS
000,00,4681,KASS
000,00,4684,JAS 
000,00,4687,MBA 
000,00,4694,ARCT
000,00,4703,CROP
000,00,4707,AMER
000,00,4707,AMER
000,00,4722,MCCO
000,00,4741,CAPR
000,00,4741,CAPR
000,00,4746,METR
000,00,4766,JUAR
000,00,4780,SWEE
000,00,4789,NTW,
000,00,4790,NTW,
000,00,4792,SKYV
000,00,4797,TIGG
000,00,4799,COLO
000,00,4809,CATV
000,00,4810,CLAR
000,00,4833,RALP
000,00,4840,ENTE
000,00,4846,GARC
000,00,4849,HYAT
000,00,4849,HYAT
000,00,4873,TJB 
000,00,4878,DXC 
000,00,4892,PRIO
000,00,4892,PRIO
000,00,4896,REGI
000,00,4899,LABC
000,00,4906,JIFF
000,00,4918,SHER
000,00,4968,J.E.
000,00,4969,CARD
000,00,4969,CARD
000,00,4970,UPSH
000,00,4976,LEOP
000,00,4976,LEOP
000,00,4990,CONT
000,00,5002,SEMM
000,00,5027,DORI
000,00,5031,BARC
000,00,5032,KAY 
000,00,5033,BUBB
000,00,5033,BUBB
000,00,5051,USB 
000,00,5051,USB 
000,00,5051,USB 
000,00,5066,ARIG
000,00,5066,ARIG
000,00,5078,CUST
000,00,5078,CUST
000,00,5088,NTT 
000,00,5095,GOLD
000,00,5106,ATLA
000,00,5112,RAM 
000,00,5122,ROUS
000,00,5122,ROUS
000,00,5144,J & 
000,00,5159,BOWL
000,00,5202,STON
000,00,5202,STON
000,00,5207,MC D
000,00,5228,MCCA
000,00,5252,JUST
000,00,5252,JUST
000,00,5266,COMP
000,00,5267,F M 
000,00,5274,MARI
000,00,5279,QUAR
000,00,5283,MCDO
000,00,5292,ORTH
000,00,5302,DUNN
000,00,5311,FEDE
000,00,5313,J & 
000,00,5317,A B 
000,00,5317,A B 
000,00,5331,ZASK
000,00,5335,L F 
000,00,5343,NATL
000,00,5343,NATL
000,00,5350,DEWB
000,00,5353,LIND
000,00,5383,TYSO
000,00,5411,MCCO
000,00,5413,MORR
000,00,5427,K C 
000,00,5427,K C 
000,00,5442,KARI
000,00,5469,GOND
000,00,5475,ALEX
000,00,5493,COUN
000,00,5527,WILL
000,00,5529,NATI
000,00,5534,RENT
000,00,5534,RENT
000,00,5547,MCLE
000,00,5553,FAIR
000,00,5557,EBIT
000,00,5569,PEND
000,00,5581,JUST
000,00,5581,JUST
000,00,5584,MCLE
000,00,5591,EAR 
000,00,5591,EAR 
000,00,5603,A CR
000,00,5630,LEE 
000,00,5642,PJ'S
000,00,5657,ANDE
000,00,5687,NORT
000,00,5687,NORT
000,00,5721,ELAN
000,00,5721,ELAN
000,00,5725,T D 
000,00,5727,NORT
000,00,5729,MURR
000,00,5742,KING
000,00,5756,CENT
000,00,5785,V & 
000,00,5795,GARY
000,00,5806,LACA
000,00,5806,LACA
000,00,5813,BOGA
000,00,5838,DORI
000,00,5880,COMI
000,00,5900,WH C
000,00,5905,METR
000,00,5920,SPEC
000,00,5946,WOJC
000,00,5959,TD P
000,00,5959,TD P
000,00,5966,LEE 
000,00,5967,MOUN
 000,00,5989,USI
000,00,6031,COMM
000,00,6038,SARA
000,00,6041,BUIL
000,00,6041,BUIL
000,00,6041,BUIL
000,00,6041,BUIL
000,00,6049,DAND
000,00,6049,DAND
000,00,6049,DAND
000,00,6069,FAIR
000,00,6094,INVI
000,00,6158,BMW 
000,00,6183,GOOD
000,00,6183,GOOD
000,00,6216,DIVI
000,00,6247,SODE
000,00,6249,M & 
000,00,6267,FIRS
000,00,6282,BEST
000,00,6288,STUD
000,00,6307,GEOR
000,00,6314,BANK
000,00,6322,PREM
000,00,6337,TYSO
000,00,6346,SCAN
000,00,6352,CATA
000,00,6353,CASC
000,00,6357,LANC
000,00,6379,SBC 
000,00,6401,FEDE
000,00,6404,BCS 
000,00,6404,BCS 
000,00,6405,HITT
000,00,6405,HITT
000,00,6454,LUCY
000,00,6456,HOLL
000,00,6456,HOLL
000,00,6459,AK A
000,00,6464,FARN
000,00,6470,HAIR
000,00,6482,TIM'
000,00,6499,MILL
000,00,6499,MILL
000,00,6501,CORB
000,00,6522,OLD 
000,00,6522,OLD 
000,00,6523,VILL
000,00,6524,MT V
000,00,6524,MT V
000,00,6526,GOVT
000,00,6532,C SP
000,00,6563,JOHN
000,00,6574,HUGH
000,00,6574,HUGH
000,00,6579,HULL
000,00,6579,HULL
000,00,6604,POTO
000,00,6607,ARBA
000,00,6614,MAXA
000,00,6622,CHEC
000,00,6640,BURL
000,00,6640,BURL
000,00,6641,MOZE
000,00,6651,NORT
000,00,6656,DAVI
000,00,6664,ROCK
000,00,6685,GOLD
000,00,6685,GOLD
000,00,6713,RADI
000,00,6719,VINH
000,00,6733,CGG 
000,00,6757,KIND
000,00,6769,GREE
000,00,6769,GREE
000,00,6778,NATI
000,00,6780,HARS
000,00,6795,OLSO
000,00,6808,VAUL
000,00,6814,CREA
000,00,6814,CREA
000,00,6819,J & 
000,00,6819,J & 
000,00,6839,NORT
000,00,6841,LA F
000,00,6862,DR L
000,00,6868,SULL
000,00,6880,CRIT
000,00,6883,IOS 
000,00,6897,SUPP
000,00,6905,HELG
000,00,6921,SAM'
000,00,6929,PALM
000,00,6929,PALM
000,00,6930,FRAM
000,00,6933,TUES
000,00,6933,TUES
000,00,6945,PAYN
000,00,6949,SPEN
000,00,6949,SPEN
000,00,6977,MARC
000,00,6979,R E 
000,00,6987,R J 
000,00,7025,NATI
000,00,7025,NATI
000,00,7070,DALE
000,00,7080,PET 
000,00,7102,METR
000,00,7102,METR
000,00,7107,NANC
000,00,7158,BURK
000,00,7174,B R 
000,00,7183,WILS
000,00,7187,RADO
000,00,7199,H WI
000,00,7202,CARP
000,00,7207,WERF
000,00,7215,R A 
000,00,7245,HORI
000,00,7265,EVER
000,00,7265,EVER
000,00,7272,CVS/
000,00,7273,CVS/
000,00,7276,LIFE
000,00,7277,APPI
000,00,7277,APPI
000,00,7280,CVS/
000,00,7281,CVS/
000,00,7283,CVS/
000,00,7285,CVS/
000,00,7293,N W 
000,00,7294,ALL 
000,00,7294,ALL 
000,00,7323,REST
000,00,7338,SAN 
000,00,7346,ENTE
000,00,7356,INTE
000,00,7374,THOM
000,00,7387,B SQ
000,00,7389,LILL
000,00,7389,LILL
000,00,7410,ONE 
000,00,7422,SERC
000,00,7459,K W 
000,00,7474,DEBR
000,00,7503,DESI
000,00,7555,DUKE
000,00,7555,DUKE
000,00,7558,SPRI
000,00,7558,SPRI
000,00,7559,MORN
000,00,7559,MORN
000,00,7562,CANO
000,00,7566,WILL
000,00,7579,VIRG
000,00,7592,COMP
000,00,7603,DITT
000,00,7613,HOAI
000,00,7631,TRAN
000,00,7652,CROU
000,00,7660,LEAS
000,00,7668,HOT 
000,00,7677,FAIR
000,00,7677,FAIR
000,00,7679,SIEM
000,00,7687,INSU
000,00,7714,BEER
000,00,7714,BEER
000,00,7718,ATTI
000,00,7725,SR M
000,00,7746,NORT
000,00,7757,ICE 
000,00,7757,ICE 
000,00,7759,MARY
000,00,7777,ESTR
000,00,7785,JUKE
000,00,7785,JUKE
000,00,7787,KELL
000,00,7798,PATR
000,00,7801,COMM
000,00,7803,PATR
000,00,7803,PATR
000,00,7847,BROW
000,00,7847,BROW
000,00,7855,CAME
000,00,7859,CSWA
000,00,7859,CSWA
000,00,7860,TAPE
000,00,7871,ABBO
000,00,7882,HELB
000,00,7882,HELB
000,00,7883,RAYM
000,00,7892,LAWN
000,00,7892,LAWN
000,00,7897,LEGA
000,00,7921,CHRY
000,00,7921,CHRY
000,00,7925,SNID
000,00,7925,SNID
000,00,7946,MELM
000,00,7973,OTOL
000,00,7974,RIVE
000,00,7978,FIT 
000,00,7999,CRES
000,00,8002,TIP 
000,00,8002,TIP 
000,00,8005,INTE
000,00,8005,INTE
000,00,8027,LEWI
000,00,8037,SAFE
000,00,8037,SAFE
000,00,8044,SAFE
000,00,8049,DEWE
000,00,8054,SAFE
000,00,8059,TKC 
000,00,8070,OLYM
000,00,8091,HONE
000,00,8144,BA L
000,00,8150,DIGI
000,00,8150,DIGI
000,00,8150,DIGI
000,00,8156,MC2 
000,00,8157,TECH
000,00,8159,SMC 
000,00,8177,DURO
000,00,8178,DURO
000,00,8195,HUNT
000,00,8208,ALL 
000,00,8209,CARD
000,00,8209,CARD
000,00,8209,CARD
000,00,8211,GERB
000,00,8220,MILL
000,00,8222,PROV
000,00,8222,PROV
000,00,8231,EVEN
000,00,8244,ON T
000,00,8249,SHEN
000,00,8251,VSE 
000,00,8253,ROLL
000,00,8291,A C 
000,00,8291,A C 
000,00,8295,POTO
000,00,8295,POTO
000,00,8307,COMM
000,00,8307,COMM
000,00,8309,SAFE
000,00,8311,POWH
000,00,8311,POWH
000,00,8314,NORE
000,00,8318,PRES
000,00,8319,CVS 
000,00,8325,DEWB
000,00,8334,THIR
000,00,8334,THIR
000,00,8346,ALPI
000,00,8346,ALPI
000,00,8346,ALPI
000,00,8349,YEDI
000,00,8353,CONE
000,00,8361,MOUN
000,00,8366,BILL
000,00,8369,REST
000,00,8369,REST
000,00,8397,MINK
000,00,8399,VIST
000,00,8404,METR
000,00,8404,METR
000,00,8406,DOMI
000,00,8406,DOMI
000,00,8406,DOMI
000,00,8451,V & 
000,00,8466,VAZQ
000,00,8478,ARBY
000,00,8482,FALL
000,00,8484,ARBY
000,00,8501,SPRI
000,00,8525,MACY
000,00,8527,MISS
000,00,8536,ABDU
000,00,8538,TRS-
000,00,8624,LONG
000,00,8625,LONG
000,00,8625,LONG
000,00,8625,LONG
000,00,8629,FORT
000,00,8630,LONG
000,00,8630,LONG
000,00,8630,LONG
000,00,8635,GMI 
000,00,8660,STAL
000,00,8666,HAPP
000,00,8671,MICH
000,00,8691,H JA
000,00,8710,SPRI
000,00,8710,SPRI
000,00,8725,LOC 
000,00,8751,J ST
000,00,8752,SWEE
000,00,8757,BOB 
000,00,8757,BOB 
000,00,8758,R & 
000,00,8758,R & 
000,00,8782,HORI
000,00,8791,TAX 
000,00,8791,TAX 
000,00,8792,GOOD
000,00,8796,GLOB
000,00,8814,GRAB
000,00,8825,LASE
000,00,8836,JOS 
000,00,8836,JOS 
000,00,8837,GPC 
000,00,8843,JON 
000,00,8855,ROW 
000,00,8856,MIDW
000,00,8856,MIDW
000,00,8860,LIND
000,00,8860,LIND
000,00,8873,MCCL
000,00,8873,MCCL
000,00,8879,E & 
000,00,8888,BOWL
000,00,8891,MERC
000,00,8900,NTW,
000,00,8900,NTW,
000,00,8914,AMER
000,00,8914,AMER
000,00,8922,SMIT
000,00,8931,ANGE
000,00,8931,ANGE
000,00,8942,JOS 
000,00,8946,FACI
000,00,8946,FACI
000,00,8973,GLOB
000,00,8973,GLOB
000,00,8997,COMM
000,00,9004,AMER
000,00,9013,JOSE
000,00,9013,JOSE
000,00,9016,SCHM
000,00,9016,SCHM
000,00,9027,HYBL
000,00,9027,HYBL
000,00,9033,ORTH
000,00,9033,ORTH
000,00,9047,A-1 
000,00,9048,MT V
000,00,9073,NALA
000,00,9073,NALA
000,00,9074,7 EL
000,00,9074,7 EL
000,00,9106,CANT
000,00,9114,TIMO
000,00,9116,CLIF
000,00,9116,CLIF
000,00,9146,RUSH
000,00,9150,REID
000,00,9150,REID
000,00,9155,JABB
000,00,9156,SENT
000,00,9209,U HA
000,00,9232,HAMP
000,00,9235,FAIR
000,00,9252,MCDO
000,00,9255,MARL
000,00,9257,EMCO
000,00,9266,QCAR
000,00,9266,QCAR
000,00,9274,HUNT
000,00,9288,IDCM
000,00,9308,T EU
000,00,9309,SOFT
000,00,9339,DOMI
000,00,9349,KORE
000,00,9350,TOWE
000,00,9353,PRET
000,00,9364,RADO
000,00,9370,VULC
000,00,9371,VULC
000,00,9371,VULC
000,00,9371,VULC
000,00,9378,TERR
000,00,9379,MONT
000,00,9393,COMP
000,00,9411,ROHA
000,00,9411,ROHA
000,00,9418,MEAD
000,00,9425,7 EL
000,00,9426,7 EL
000,00,9428,7 EL
000,00,9429,7 EL
000,00,9451,RONA
000,00,9457,RE/M
000,00,9464,JARE
000,00,9477,ROBI
000,00,9488,VOYA
000,00,9488,VOYA
000,00,9512,BALT
000,00,9520,NATI
000,00,9527,FALL
000,00,9537,F & 
000,00,9559,TEST
000,00,9561,FAMI
000,00,9571,MCDO
000,00,9572,MERR
000,00,9572,MERR
000,00,9574,VW C
000,00,9576,MANU
000,00,9576,MANU
000,00,9592,DISC
000,00,9616,CAR 
000,00,9625,DELL
000,00,9651,CHAR
000,00,9660,J LE
000,00,9660,J LE
000,00,9662,PALO
000,00,9663,KAY 
000,00,9675,DOUG
000,00,9681,MIXN
000,00,9692,NOVA
000,00,9697,AQUE
000,00,9700,AUTO
000,00,9700,AUTO
000,00,9709,SERV
000,00,9720,PERS
000,00,9720,PERS
000,00,9743,ROBE
000,00,9752,PFEI
000,00,9771,ACG 
000,00,9771,ACG 
000,00,9772,GILM
000,00,9772,GILM
000,00,9790,BURT
000,00,9827,DEEP
000,00,9861,ROTO
000,00,9876,UNIV
000,00,9876,UNIV
000,00,9882,FALL
000,00,9889,GIRA
000,00,9889,GIRA
000,00,9909,VIEN
000,00,9935,MERR
000,00,9935,MERR
000,00,9954,SHAD
000,00,9976,JOHN
000,00,9982,ANY 
000,01,0001,XERO
000,01,0035,NOVA
000,01,0046,J C 
000,01,0046,J C 
000,01,0068,TAX 
000,01,0073,TRIB
000,01,0073,TRIB
000,01,0078,SENE
000,01,0078,SENE
000,01,0079,SMAL
000,01,0081,PREM
000,01,0084,CENT
000,01,0089,TROW
000,01,0094,MCLE
000,01,0098,PEPE
000,01,0106,SIMO
000,01,0133,ATHA
000,01,0134,L & 
000,01,0141,SSB,
000,01,0144,LANE
000,01,0144,LANE
000,01,0161,UPHO
000,01,0170,MCEN
000,01,0175,MONE
000,01,0186,ADVA
000,01,0194,QWES
000,01,0208,SMIT
000,01,0233,STAC
000,01,0242,DEER
000,01,0248,BANC
000,01,0254,FX C
000,01,0254,FX C
000,01,0255,ITST
000,01,0262,CORN
000,01,0262,CORN
000,01,0269,REPU
000,01,0269,REPU
000,01,0285,VIEN
000,01,0287,MACY
000,01,0287,MACY
000,01,0303,METR
000,01,0303,METR
000,01,0312,EXCE
000,01,0316,LSTI
000,01,0317,FIVE
000,01,0320,WGL 
000,01,0320,WGL 
000,01,0323,GOEH
000,01,0345,GNC 
000,01,0345,GNC 
000,01,0348,PRIM
000,01,0359,7 EL
000,01,0360,EVER
000,01,0360,EVER
000,01,0361,7 EL
000,01,0361,7 EL
000,01,0377,7-EL
000,01,0378,7 EL
000,01,0380,7 EL
000,01,0386,KIES
000,01,0387,BEAU
000,01,0394,7 EL
000,01,0399,7 EL
000,01,0400,7 EL
000,01,0402,7 EL
000,01,0408,7 EL
000,01,0408,7 EL
000,01,0409,7 EL
000,01,0412,7 EL
000,01,0416,7 EL
000,01,0418,7 EL
000,01,0418,7 EL
000,01,0421,7 EL
000,01,0421,7 EL
000,01,0425,YE C
000,01,0425,YE C
000,01,0446,AMER
000,01,0455,ITC 
000,01,0455,ITC 
000,01,0492,HARR
000,01,0492,HARR
000,01,0493,M&M 
000,01,0504,MANT
000,01,0506,SCIE
000,01,0506,SCIE
000,01,0509,ANNA
000,01,0509,ANNA
000,01,0514,7 EL
000,01,0516,7 EL
000,01,0520,7 EL
000,01,0528,7 EL
000,01,0528,7 EL
000,01,0545,CORP
000,01,0571,W BR
000,01,0579,HAIR
000,01,0579,HAIR
000,01,0597,C G 
000,01,0604,BALL
000,01,0604,BALL
000,01,0628,J T 
000,01,0628,J T 
000,01,0646,BIKA
000,01,0656,DR D
000,01,0683,R M 
000,01,0715,PET 
000,01,0717,PET 
000,01,0717,PET 
000,01,0721,WASH
000,01,0755,WAYN
000,01,0755,WAYN
000,01,0758,THE 
000,01,0769,GR F
000,01,0772,BEI 
000,01,0792,KONI
000,01,0831,BREY
000,01,0833,LOFT
000,01,0838,WILL
000,01,0846,STOK
000,01,0846,STOK
000,01,0872,BYRR
000,01,0872,BYRR
000,01,0882,WILL
000,01,0903,AMCA
000,01,0904,QWES
000,01,0910,GEOR
000,01,0943,SIGN
000,01,0949,RUDO
000,01,0963,DOMI
000,01,0973,STEP
000,01,0973,STEP
000,01,0995,GARD
000,01,1003,ACCL
000,01,1103,J D 
000,01,1103,J D 
000,01,1112,PART
000,01,1116,TECH
000,01,1116,TECH
000,01,1128,A B 
000,01,1128,A B 
000,01,1129,FRIX
000,01,1139,JON 
000,01,1152,BURK
000,01,1152,BURK
000,01,1161,JINA
000,01,1183,NEO 
000,01,1183,NEO 
000,01,1184,SPRI
000,01,1184,SPRI
000,01,1188,LA T
000,01,1190,SAAH
000,01,1221,COUR
