Acctype,Accountnumber,Vin
I,A19726421,6178
I,A19726789,5680
I,A19726809,7690
I,A19726815,0160
I,A19726841,3140
I,A19726870,4588
I,A19727127,8198
I,A19727127,4940
I,A19727193,7357
I,A19727212,5204
I,A19727212,5204
I,A19727218,0458
I,A19727310,4386
I,A19727421,5173
I,A19727608,5613
I,A19727648,8715
I,A19727904,2633
I,A19727916,2691
I,A19728007,1534
I,A19728043,4530
I,A19728084,0074
I,A19728084,1894
I,A19728256,7814
I,A19728256,4350
I,A19728454,1663
I,A19728454,1663
I,A19728508,0335
I,A19728547,4127
I,A19728559,7481
I,A19728640,7707
I,A19728663,6310
I,A19728755,5709
I,A19728948,4297
I,A19729091,3990
I,A19729091,5609
I,A19729125,6501
I,A19729144,0305
I,A19729151,7515
I,A19729357,8964
I,A19729508,3661
I,A19729508,9237
I,A19730323,2588
I,A19730452,5760
I,A19730467,7068
I,A19730500,6668
I,A19730500,3538
I,A19730593,1566
I,A19730666,9249
I,A19730877,1909
I,A19730972,9132
I,A19731117,5465
I,A19731138,4375
I,A19731160,2987
I,A19731160,4194
I,A19731223,8381
I,A19731377,8767
I,A19731596,3969
I,A19731789,0478
I,A19731814,8936
I,A19731818,2686
I,A19731842,9598
I,A19731899,7684
I,A19731921,9675
I,A19731937,5905
I,A19732004,6216
I,A19732393,6157
I,A19732592,5407
I,A19732607,6418
I,A19732651,9787
I,A19732659,6302
I,A19732768,2112
I,A19732768,2674
I,A19732792,6739
I,A19732937,6860
I,A19732997,9685
I,A19733122,7283
I,A19733150,8438
I,A19733192,7128
I,A19733192,7591
I,A19733315,2960
I,A19733339,0470
I,A19733350,6505
I,A19733567,1718
I,A19733605,0838
I,A19733605,7994
I,A19733651,1633
I,A19733669,8386
I,A19733669,4726
I,A19733721,7236
I,A19733749,1969
I,A19733954,2583
I,A19734138,2229
I,A19734187,1627
I,A19734198,5728
I,A19734389,1291
I,A19734451,7654
I,A19734561,6021
I,A19734571,1303
I,A19734572,1303
I,A19734695,8100
I,A19734721,4817
I,A19735188,2022
I,A19735219,5778
I,A19735328,8105
I,A19735328,5127
I,A19735328,7626
I,A19735385,4022
I,A19735558,4810
I,A19735572,8537
I,A19735572,2484
I,A19735603,1904
I,A19735931,3547
I,A19736576,9420
I,A19736871,3926
I,A19737003,7650
I,A19737021,1171
I,A19737021,8086
I,A19737080,1358
I,A19737106,4770
I,A19737136,0178
I,A19737175,8651
I,A19737232,3991
I,A19737234,7870
I,A19737370,9278
I,A19737370,2915
I,A19737383,9213
I,A19737474,1077
I,A19737549,0600
I,A19737576,0190
I,A19737662,5777
I,A19737662,3511
I,A19737671,5353
I,A19737801,2992
I,A19738059,4862
I,A19738070,2921
I,A19738197,3427
I,A19738237,5113
I,A19738245,9554
I,A19738346,7145
I,A19738517,2596
I,A19738633,5540
I,A19738783,2875
I,A19738804,4915
I,A19738887,2181
I,A19739009,3981
I,A19739034,7634
I,A19739089,7500
I,A19739180,7287
I,A19739223,4583
I,A19739455,6840
I,A19739639,3252
I,A19739657,5723
I,A19739813,1379
I,A19739859,9467
I,A19739938,7281
I,A19739938,4400
I,A19740139,4786
I,A19740322,4645
I,A19740360,4596
I,A19740494,0885
I,A19740510,1008
I,A19741076,9352
I,A19741167,9323
I,A19741355,0927
I,A19741372,0870
I,A19741390,8492
I,A19741430,0370
I,A19741615,8504
I,A19741684,3555
I,A19741721,0330
I,A19741767,1510
I,A19741767,3479
I,A19741835,3183
I,A19741887,9569
I,A19741911,1387
I,A19741921,3961
I,A19741921,7667
I,A19742113,1432
I,A19742149,7381
I,A19742149,1938
I,A19742340,7965
I,A19742404,8692
I,A19742444,4806
I,A19742483,3574
I,A19742498,5127
I,A19742583,5301
I,A19742753,0163
I,A19742943,9189
I,A19743241,6984
I,A19743418,4041
I,A19743668,1915
I,A19743794,1713
I,A19743849,0361
I,A19743877,4157
I,A19743895,1604
I,A19743895,5121
I,A19743895,4914
I,A19744354,8545
I,A19744354,3908
I,A19744373,1959
I,A19744373,4206
I,A19744506,1261
I,A19744630,4300
I,A19744630,1627
I,A19744736,3014
I,A19745010,8659
I,A19745081,6400
I,A19745139,0819
I,A19745139,8745
I,A19745336,3532
I,A19745409,5427
I,A19745409,3285
I,A19745568,6309
I,A19745633,0652
I,A19745641,7049
I,A19745644,1260
I,A19745720,2324
I,A19746050,1436
I,A19746225,5936
I,A19746273,3419
I,A19746484,7310
I,A19746484,8073
I,A19746580,3813
I,A19746580,9987
I,A19746671,6290
I,A19746671,4446
I,A19746951,1364
I,A19746978,2893
I,A19746978,8518
I,A19747046,8640
I,A19747106,0140
I,A19747221,3396
I,A19747239,7801
I,A19747300,9193
I,A19747332,7531
I,A19747406,1769
I,A19747445,4801
I,A19747532,8657
I,A19747533,8397
I,A19747533,2304
I,A19747663,9723
I,A19747663,8418
I,A19747663,7441
I,A19747759,2315
I,A19747811,6917
I,A19747848,6198
I,A19748050,1282
I,A19748211,2504
I,A19748391,2390
I,A19748395,9012
I,A19748395,5750
I,A19748419,7917
I,A19748499,3255
I,A19748536,0488
I,A19748538,8617
I,A19748538,0247
I,A19748655,7547
I,A19748655,3246
I,A19748669,1840
I,A19748669,8035
I,A19748762,7077
I,A19748787,7503
I,A19748819,0776
I,A19748832,1022
I,A19748874,7720
I,A19748877,9228
I,A19749012,8819
I,A19749093,6127
I,A19749125,7044
I,A19749125,0533
I,A19749362,8423
I,A19749405,6095
I,A19749490,9484
I,A19749491,3459
I,A19749764,4116
I,A19749873,6900
I,A19749930,8087
I,A19749933,3941
I,A19750097,8963
I,A19750109,3094
I,A19750216,3399
I,A19750217,3399
I,A19750474,4799
I,A19750474,5091
I,A19750523,0379
I,A19750617,3797
I,A19750646,5164
I,A19750697,4621
I,A19750708,8541
I,A19750724,0790
I,A19751219,1840
I,A19751294,0506
I,A19751636,0618
I,A19751718,6181
I,A19751818,9086
I,A19751895,7220
I,A19751919,4772
I,A19752069,4201
I,A19752156,1469
I,A19752156,4300
I,A19752222,3919
I,A19752223,2743
I,A19752238,2046
I,A19752487,8037
I,A19752488,8037
I,A19752530,8934
I,A19752553,0175
I,A19752654,2576
I,A19752657,7180
I,A19752667,8512
I,A19752849,1452
I,A19752865,1885
I,A19753068,8868
I,A19753075,0813
I,A19753369,6714
I,A19753450,2545
I,A19753482,3676
I,A19753482,1294
I,A19753524,6200
I,A19753548,2204
I,A19753863,4406
I,A19753866,6874
I,A19753890,3774
I,A19753971,1251
I,A19753978,3760
I,A19754012,0076
I,A19754207,4995
I,A19754396,6934
I,A19754527,9233
I,A19754539,5242
I,A19754539,4320
I,A19754684,0298
I,A19754689,1105
I,A19754732,7378
I,A19754967,9609
I,A19754971,9682
I,A19754971,1105
I,A19755123,7981
I,A19755123,2649
I,A19755288,1368
I,A19755288,0020
I,A19755404,6627
I,A19755614,7619
I,A19755665,8249
I,A19755841,4451
I,A19756053,1949
I,A19756053,2918
I,A19756053,6310
I,A19756069,1713
I,A19756083,7398
I,A19756089,0955
I,A19756144,0472
I,A19756172,0540
I,A19756180,3317
I,A19756263,3266
I,A19756263,2040
I,A19756400,7143
I,A19756400,8634
I,A19756401,3741
I,A19756445,1365
I,A19756586,4971
I,A19756619,3021
I,A19756619,2922
I,A19756668,0093
I,A19756866,7120
I,A19756922,3981
I,A19756951,6656
I,A19756951,1877
I,A19756998,5780
I,A19757024,8870
I,A19757148,6289
I,A19757268,1833
I,A19757269,2462
I,A19757402,0148
I,A19757496,3253
I,A19757585,1777
I,A19757652,0891
I,A19757739,3229
I,A19757947,8685
I,A19758270,3973
I,A19758270,6015
I,A19758420,3294
I,A19758564,3004
I,A19758963,9102
I,A19759086,1774
I,A19759385,7717
I,A19759556,5766
I,A19760132,2994
I,A19760200,6935
I,A19760200,0810
I,A19760657,7590
I,A19760657,8668
I,A19760657,5022
I,A19760720,8859
I,A19760808,5998
I,A19760942,0842
I,A19760942,8191
I,A19761272,3738
I,A19761496,3947
I,A19761755,7968
I,A19761778,8282
I,A19761778,6034
I,A19761788,9685
I,A19761944,3703
I,A19762097,4390
I,A19762198,0756
I,A19762198,1408
I,A19762312,8476
I,A19762529,5603
I,A19762529,2925
I,A19762615,1396
I,A19762660,2700
I,A19762675,6938
I,A19762803,6839
I,A19762804,6839
I,A19762835,8708
I,A19763092,9373
I,A19763092,8854
I,A19763097,6061
I,A19763097,2225
I,A19763187,5198
I,A19763240,0402
I,A19763307,0355
I,A19763494,6975
I,A19763529,9258
I,A19763529,2743
I,A19763558,3143
I,A19763577,9186
I,A19763778,9207
I,A19763961,2703
I,A19763970,0180
I,A19763973,0673
I,A19764031,9920
I,A19764109,1468
I,A19764127,7427
I,A19764154,9834
I,A19764273,8022
I,A19764367,7989
I,A19764411,4153
I,A19764446,0140
I,A19764454,9402
I,A19765039,3592
I,A19765185,2226
I,A19765341,1516
I,A19765748,7817
I,A19765862,4807
I,A19765972,9643
I,A19766302,4543
I,A19766302,7814
I,A19766305,4241
I,A19766596,8790
I,A19766768,0578
I,A19766791,4742
I,A19766886,1562
I,A19766917,0199
I,A19766920,1072
I,A19766920,5678
I,A19767420,2617
I,A19767477,0918
I,A19767779,8187
I,A19767800,7923
I,A19767869,1410
I,A19768123,1732
I,A19768167,0886
I,A19768351,4007
I,A19768534,4465
I,A19768739,5198
I,A19768903,3586
I,A19768964,5004
I,A19769091,8222
I,A19769144,7994
I,A19769585,7419
I,A19769585,7160
I,A19769654,8352
I,A19769745,6010
I,A19769824,1715
I,A19770298,1806
I,A19770363,2948
I,A19770601,3629
I,A19770739,4263
I,A19770739,3051
I,A19770745,3995
I,A19770922,2626
I,A19770922,9100
I,A19771004,1841
I,A19771217,5926
I,A19771217,3863
I,A19771388,7357
I,A19771411,5278
I,A19771458,8874
I,A19771458,2529
I,A19771500,2288
I,A19771500,6565
I,A19771500,0148
I,A19771683,5231
I,A19771683,5168
I,A19771699,4152
I,A19771720,0556
I,A19771755,9925
I,A19771798,4230
I,A19771899,6901
I,A19772283,8884
I,A19772283,2780
I,A19772528,9558
I,A19772528,3219
I,A19772542,0528
I,A19772542,2537
I,A19772553,4507
I,A19772560,5350
I,A19772695,0484
I,A19772871,1127
I,A19772896,4290
I,A19772905,6616
I,A19773025,5855
I,A19773025,0224
I,A19773046,3808
I,A19773264,2281
I,A19773496,9144
I,A19773787,0228
I,A19773821,1562
I,A19773988,5357
I,A19774333,9297
I,A19774333,6433
I,A19774352,1391
I,A19774352,0252
I,A19774541,4352
I,A19774592,5974
I,A19774592,4036
I,A19774702,6074
I,A19774717,0242
I,A19774748,9989
I,A19774795,4185
I,A19774825,8013
I,A19774904,7720
I,A19775064,2487
I,A19775067,2540
I,A19775200,9301
I,A19775347,0948
I,A19775347,0948
I,A19775408,4415
I,A19775521,0687
I,A19775521,0614
I,A19775527,0208
I,A19775527,8835
I,A19775768,7910
I,A19775934,4002
I,A19776072,5873
I,A19776110,9123
I,A19776299,8192
I,A19776397,6686
I,A19776671,7706
I,A19776671,1512
I,A19776714,9026
I,A19776714,3282
I,A19776899,7564
I,A19776921,8048
I,A19776961,7096
I,A19777040,9836
I,A19777165,2735
I,A19777201,7921
I,A19777221,4828
I,A19777255,0438
I,A19777408,5988
I,A19777423,3696
I,A19777423,9079
I,A19777464,4724
I,A19777909,2883
I,A19777916,3926
I,A19777979,1915
I,A19778177,2300
I,A19778742,1015
I,A19779010,2748
I,A19779097,1278
I,A19779108,1029
I,A19779108,6446
I,A19779183,9833
I,A19779228,4815
I,A19779530,1553
I,A19779582,7730
I,A19779600,1653
I,A19779671,5730
I,A19779674,3317
I,A19779890,7081
I,A19779918,3301
I,A19779974,2560
I,A19779974,4871
I,A19780000,4862
I,A19780229,2634
I,A19780447,0334
I,A19780518,7797
I,A19780680,5516
I,A19780680,9477
I,A19780993,9628
I,A19781199,7933
I,A19781315,6892
I,A19781337,7616
I,A19781711,5514
I,A19781827,4874
I,A19781994,3649
I,A19782002,2721
I,A19782126,6583
I,A19782162,3296
I,A19782408,1247
I,A19782444,9168
I,A19782444,9934
I,A19782534,8072
I,A19782615,0683
I,A19782867,4331
I,A19782867,4869
I,A19782881,4017
I,A19783131,1574
I,A19783220,9695
I,A19783368,2816
I,A19783600,2789
I,A19783864,2721
I,A19783873,0526
I,A19783880,9974
I,A19783880,2369
I,A19784053,1739
I,A19784053,3743
I,A19784089,5169
I,A19784263,1226
I,A19784403,4738
I,A19784408,8755
I,A19784588,9658
I,A19784985,9576
I,A19784985,3392
I,A19785132,2434
I,A19785132,1070
I,A19785154,0803
I,A19785215,7598
I,A19785287,8874
I,A19785394,0102
I,A19785394,1799
I,A19785621,7589
I,A19785697,8480
I,A19785780,0353
I,A19785780,0353
I,A19786179,0864
I,A19786341,9859
I,A19786537,3450
I,A19786574,8391
I,A19786635,1798
I,A19786963,7315
I,A19787156,3691
I,A19787234,2297
I,A19787436,5474
I,A19787546,3535
I,A19787694,5057
I,A19787866,6344
I,A19787901,0791
I,A19787929,8272
I,A19787980,0881
I,A19788086,3637
I,A19788357,8473
I,A19788512,1771
I,A19788601,3746
I,A19788753,2882
I,A19788783,7338
I,A19788783,8932
I,A19788941,1596
I,A19788941,3199
I,A19789268,9567
I,A19789287,0866
I,A19789517,3181
I,A19789564,9243
I,A19789564,7334
I,A19789640,0784
I,A19789722,8172
I,A19789722,1920
I,A19789778,4183
I,A19789820,0152
I,A19790169,6447
I,A19790219,4395
I,A19790287,0944
I,A19790323,8202
I,A19790334,0036
I,A19790426,3904
I,A19790972,5896
I,A19790988,4813
I,A19791084,7738
I,A19791305,3085
I,A19791656,8273
I,A19791849,1706
I,A19792393,2875
I,A19792668,0736
I,A19792668,7646
I,A19793125,9609
I,A19793133,6280
I,A19793651,1350
I,A19793831,0934
I,A19793953,2060
I,A19794069,9336
I,A19794122,6883
I,A19794161,7541
I,A19794233,4531
I,A19794436,2223
I,A19794450,5225
I,A19794532,6248
I,A19795056,2029
I,A19795105,7896
I,A19795560,2010
I,A19795682,6614
I,A19795762,9471
I,A19796213,4038
I,A19796281,8178
I,A19796311,0946
I,A19796496,8991
I,A19797150,3531
I,A19797455,6438
I,A19797535,9954
I,A19797535,0477
I,A19797617,5177
I,A19797945,9327
I,A19797945,7348
I,A19797970,3198
I,A19798212,4764
I,A19798361,3712
I,A19798667,4176
I,A19799145,9447
I,A19799389,8503
I,A19799404,4462
I,A19799404,0612
I,A19799472,9291
I,A19799553,6439
I,A19799553,1877
I,A19799606,7994
I,A19799606,5062
I,A19799642,7118
I,A19799655,5384
I,A19799922,7731
I,A19799922,5733
I,A20802065,4757
I,A20802065,9608
I,A22466789,0851
I,A23800151,1684
I,A23800181,4346
I,A23800220,0224
I,A23800224,4448
I,A23800237,3765
I,A23800288,6495
I,A23800332,0448
I,A23800356,1368
I,A23800356,6312
I,A23800526,3313
I,A23800534,3399
I,A23800554,0827
I,A23800638,4055
I,A23800639,8288
I,A23800647,1811
I,A23800660,2502
I,A23800661,0289
I,A23800711,3451
I,A23800808,6251
I,A23800824,4447
I,A23800830,4372
I,A23800879,4523
I,A23800893,0586
I,A23800920,0720
I,A23800958,7484
I,A23800970,4005
I,A23801047,6010
I,A23801062,3661
I,A23801140,4845
I,A23801150,2989
I,A23801176,1999
I,A23801179,0439
I,A23801181,3047
I,A23801219,1174
I,A23801261,0438
I,A23801270,6811
I,A23801282,9427
I,A23801286,5428
I,A23801286,0575
I,A23801338,6554
I,A23801372,1307
I,A23801372,7366
I,A23801401,5027
I,A23801443,8780
I,A23801515,8834
I,A23801538,9956
I,A23801610,4930
I,A23801614,0781
I,A23801614,9213
I,A23801614,1058
I,A23801625,8839
I,A23801658,2993
I,A23801705,9002
I,A23801744,5591
I,A23801747,0561
I,A23801747,4761
I,A23801784,8095
I,A23801784,9611
I,A23801788,8635
I,A23801809,7913
I,A23801837,1730
I,A23801839,5132
I,A23801839,8605
I,A23801839,8677
I,A23801845,5031
I,A23801882,2759
I,A23801893,1272
I,A23801898,9938
I,A23801920,2253
I,A23801925,4214
I,A23801988,0985
I,A23802018,0056
I,A23802028,7147
I,A23802029,5394
I,A23802050,3308
I,A23802050,3887
I,A23802073,8362
I,A23802073,7134
I,A23802097,2686
I,A23802114,9714
I,A23802130,2040
I,A23802130,3355
I,A23802135,6397
I,A23802135,3396
I,A23802148,8331
I,A23802158,1254
I,A23802180,6173
I,A23802189,2342
I,A23802193,4196
I,A23802237,6531
I,A23802238,0615
I,A23802274,3455
I,A23802283,9740
I,A23802283,9740
I,A23802288,7580
I,A23802317,4158
I,A23802318,4045
I,A23802318,7706
I,A23802325,8469
I,A23802325,6148
I,A23802346,3844
I,A23802346,7923
I,A23802347,7500
I,A23802360,7602
I,A23802360,0084
I,A23802378,0975
I,A23802407,1094
I,A23802407,0820
I,A23802433,2263
I,A23802433,1026
I,A23802494,2399
I,A23802511,3883
I,A23802511,3927
I,A23802624,5483
I,A23802636,3896
I,A23802637,2035
I,A23802649,2099
I,A23802658,9463
I,A23802677,3054
I,A23802681,6395
I,A23802684,5280
I,A23802731,0777
I,A23802737,8116
I,A23802763,3573
I,A23802768,9195
I,A23802803,5756
I,A23802873,9034
I,A23802890,6971
I,A23802958,5119
I,A23802958,8795
I,A23802982,3886
I,A23803017,5852
I,A23803076,5742
I,A23803077,7534
I,A23803077,8949
I,A23803084,0103
I,A23803086,3933
I,A23803152,4881
I,A23803165,7030
I,A23803165,8481
I,A23803183,8799
I,A23803192,6148
I,A23803210,5189
I,A23803210,1709
I,A23803218,4458
I,A23803276,1728
I,A23803294,0241
I,A23803308,5250
I,A23803413,5267
I,A23803417,6895
I,A23803430,1031
I,A23803438,8932
I,A23803467,2463
I,A23803467,3858
I,A23803476,0620
I,A23803501,6823
I,A23803527,6348
I,A23803530,1402
I,A23803542,1841
I,A23803644,3411
I,A23803652,8202
I,A23803657,3245
I,A23803660,3941
I,A23803672,5140
I,A23803702,4453
I,A23803724,8061
I,A23803726,2929
I,A23803762,3832
I,A23803769,4858
I,A23803769,6422
I,A23803770,5405
I,A23803771,5064
I,A23803772,8225
I,A23803775,2623
I,A23803778,7655
I,A23803791,2200
I,A23803791,2200
I,A23803792,2116
I,A23803793,2535
I,A23803879,4875
I,A23803882,8025
I,A23803883,3627
I,A23803883,8063
I,A23803884,1174
I,A23803884,5272
I,A23803894,5337
I,A23803894,0757
I,A23803906,2138
I,A23803906,6958
I,A23803908,5302
I,A23803908,0384
I,A23803909,3279
I,A23803909,4079
I,A23803922,8433
I,A23803922,0490
I,A23803924,9267
I,A23803928,2868
I,A23803928,1358
I,A23803930,9740
I,A23803999,2425
I,A23804048,6261
I,A23804049,2898
I,A23804051,1434
I,A23804088,7289
I,A23804091,0998
I,A23804094,4581
I,A23804117,2265
I,A23804121,2997
I,A23804125,6161
I,A23804125,7314
I,A23804127,0323
I,A23804128,3848
I,A23804129,1334
I,A23804133,0630
I,A23804141,4086
I,A23804144,0084
I,A23804244,8091
I,A23804244,1761
I,A23804258,2675
I,A23804262,3176
I,A23804265,6286
I,A23804265,9506
I,A23804297,7159
I,A23804297,6341
I,A23804310,7630
I,A23804319,1935
I,A23804326,1521
I,A23804326,7842
I,A23804334,0747
I,A23804393,0920
I,A23804393,8065
I,A23804398,1156
I,A23804402,6215
I,A23804404,8745
I,A23804461,9727
I,A23804467,0304
I,A23804468,3876
I,A23804469,3547
I,A23804470,0261
I,A23804477,0635
I,A23804517,9595
I,A23804519,6669
I,A23804523,7250
I,A23804531,9200
I,A23804533,6438
I,A23804537,8068
I,A23804537,2280
I,A23804540,0622
I,A23804540,6814
I,A23804544,9999
I,A23804553,0838
I,A23804626,0955
I,A23804626,8023
I,A23804628,6396
I,A23804629,6131
I,A23804642,0934
I,A23804643,7374
I,A23804647,5283
I,A23804680,9740
I,A23804682,4517
I,A23804682,2960
I,A23804684,1256
I,A23804685,9330
I,A23804688,6193
I,A23804694,2021
I,A23804694,1212
I,A23804730,6090
I,A23804730,9923
I,A23804736,5351
I,A23804739,0184
I,A23804746,5632
I,A23804746,9888
I,A23804748,7597
I,A23804751,6464
I,A23804778,8019
I,A23804780,4245
I,A23804781,1129
I,A23804783,7425
I,A23804821,7741
I,A23804821,9189
I,A23804896,1890
I,A23805023,1212
I,A23805023,0417
I,A23805034,1660
I,A23805036,5991
I,A23805036,0840
I,A23805037,7768
I,A23805040,7199
I,A23805043,8431
I,A23805069,6204
I,A23805071,3440
I,A23805072,1134
I,A23805073,7793
I,A23805075,4565
I,A23805078,3678
I,A23805082,8243
I,A23805084,8690
I,A23805085,1087
I,A23805085,9661
I,A23805087,5216
I,A23805091,6787
I,A23805109,7538
I,A23805112,6147
I,A23805112,0066
I,A23805168,5665
I,A23805186,8513
I,A23805421,1065
I,A23805421,9740
I,A23805457,2984
I,A23805583,5614
I,A23805622,6834
I,A23805624,3839
I,A23805626,0796
I,A23805626,0790
I,A23805630,9927
I,A23805631,1297
I,A23805672,5868
I,A23805672,4442
I,A23805679,5017
I,A23805681,1037
I,A23805682,5450
I,A23805687,7396
I,A23805688,1733
